name,host_name,host_location,neighbourhood_cleansed,property_type,room_type,accommodates,rooms_text,beds,price
Villa in Ciudadela de Menorca,Dri & Kass,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,7,2,4,120
Chalet in Son Xoriguer,Juan Miguel,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,7,1,5,145
Home in Es Castell,Hfl,No info,Sant Lluis,Entire home,Entire home/apt,16,6,12,750
Rental unit in Ciutadella de Menorca,Homerez,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,239
Villa in Torre del Ram,Richard,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,280
Condo in Ciutadella de Menorca,Valerie,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,2,4,165
Condo in Illes Balears,Emma,No info,Es Mercadal,Entire condo,Entire home/apt,6,2,4,65
Home in Son Carrio,David,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,1,4,200
Villa in Illes Balears,Alfonso,No info,Sant Lluis,Entire villa,Entire home/apt,8,3,7,550
Home in San Jaime Mediterraneo,Estate,No info,Alaior,Entire home,Entire home/apt,6,3,3,300
Villa in Son Parc,Phil And Trish,No info,Es Mercadal,Private room in villa,Private room,2,1,1,81
Rental unit in Illes Balears,Mikel,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,6,1,4,160
Villa in Trebeluger,Luz,No info,Es Castell,Entire villa,Entire home/apt,6,3,6,150
Villa in Son Bou,Menorcarentals Villa S.L.,No info,Alaior,Entire villa,Entire home/apt,6,2,6,253
Rental unit in San Jaime Mediterraneo,Jo,No info,Alaior,Entire rental unit,Entire home/apt,2,1,1,63
Rental unit in Cala en Porter,Ruben,No info,Alaior,Entire rental unit,Entire home/apt,2,1,1,105
Guesthouse in Ciutadella de Menorca,Francoise,No info,Ciutadella de Menorca,Entire guesthouse,Entire home/apt,4,1,4,90
Villa in Alaior,Menorcarentals Villa S.L.,No info,Alaior,Entire villa,Entire home/apt,11,3,9,321
Rental unit in Ciutadella de Menorca,Joan,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,3,1,3,51
Villa in Sant Tomas,Sonne Villas,No info,Es Migjorn Gran,Entire villa,Entire home/apt,6,2,6,92
Villa in Mao,Holidu,No info,Mahon,Entire villa,Entire home/apt,10,5,8,353
Condo in Ciutadella de Menorca,Ines,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,4,90
Condo in Los Delfines,Cocoislander Sl,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,6,1,3,524
Condo in Los Delfines,Cocoislander Sl,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,6,1,4,600
Condo in Los Delfines,Cocoislander Sl,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,6,1,3,600
Condo in Los Delfines,Cocoislander Sl,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,6,1,4,600
Villa in Son Vitamina,Alexander,No info,Alaior,Entire villa,Entire home/apt,6,2,4,570
Condo in Los Delfines,Cocoislander Sl,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,6,1,3,600
Townhouse in Ciutadella de Menorca,Simon,No info,Ciutadella de Menorca,Entire townhouse,Entire home/apt,4,1,4,50
Chalet in Cala Morell,Lucia,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,5,2,3,180
Villa in Calan Porter,MauterVillas,No info,Alaior,Entire villa,Entire home/apt,6,2,5,113
Condo in Menorca,Maria Rosa,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,75
Condo in Arenal d'en Castell,Alana,No info,Es Mercadal,Entire condo,Entire home/apt,6,1,4,200
Home in Cap d'Artrutx,Holidu,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,5,130
Home in Ciutadella de Menorca,Holidays,No info,Ciutadella de Menorca,Entire home,Entire home/apt,8,2,7,1177
Home in Torre Soli Nou,Holidu,No info,Alaior,Entire home,Entire home/apt,6,3,5,130
Villa in Binibequer,Emma,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,4,530
Home in Son Blanc,Maikel Y Carmen,No info,Ciutadella de Menorca,Entire home,Entire home/apt,10,3,8,300
Villa in Son Parc,Philippe,No info,Es Mercadal,Entire villa,Entire home/apt,8,3,5,349
Villa in Cap d'Artrutx,Pere,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,5,1,4,50
Rental unit in Torre del Ram,Apartamentos Biniforcat C.B,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,4,85
Rental unit in Cala en Porter,Lana,No info,Alaior,Entire rental unit,Entire home/apt,4,1,3,115
Home in Cap d'Artrutx,3Villas,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,5,1200
Villa in Sant Lluis,PIa,No info,Sant Lluis,Entire villa,Entire home/apt,9,5,9,600
Home in Binibeca,Reway,No info,Sant Lluis,Entire home,Entire home/apt,6,2,6,196
Condo in Ciutadella de Menorca,Josep,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,150
Home in Mao,Anastride,No info,Mahon,Entire home,Entire home/apt,12,4,12,550
Home in Fornells,Clara,No info,Es Mercadal,Entire home,Entire home/apt,4,1,3,135
Rental unit in Ciutadella de Menorca,Holidu,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,3,1,3,85
Rental unit in Ciutadella de Menorca,Javier,No info,Ciutadella de Menorca,Private room in rental unit,Private room,3,1,1,0
Rental unit in Cala en Porter,Acantilado Beach House,No info,Alaior,Entire rental unit,Entire home/apt,2,1,1,150
Home in Sant Lluis,Antoni,No info,Sant Lluis,Entire home,Entire home/apt,4,2,3,127
Townhouse in Illes Balears,German,No info,Es Mercadal,Entire townhouse,Entire home/apt,4,2,3,50
Vacation home in Torre del Ram,Apartamentos Biniforcat C.B,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,4,1,4,85
Vacation home in Torre del Ram,Apartamentos Biniforcat C.B,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,4,1,4,85
Vacation home in Torre del Ram,Apartamentos Biniforcat C.B,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,4,1,4,85
Rental unit in Fornells,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,152
Rental unit in Fornells,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,152
Villa in Ciudadela de Menorca,Cocoislander Sl,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,7,3,4,600
Villa in Sant Jaume,Menorcarentals Villa S.L.,No info,Alaior,Entire villa,Entire home/apt,6,1,4,158
Villa in Cala en Porter,Lucie,No info,Alaior,Entire villa,Entire home/apt,8,2,6,256
Hotel in Ciutadella de Menorca,Homerti,No info,Ciutadella de Menorca,Room in Hotel,Private room,2,1,1,174
Rental unit in Torre del Ram,Gonzalo,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,220
Home in Ciutadella de Menorca,Luis,No info,Ciutadella de Menorca,Entire home,Entire home/apt,7,2,6,245
Rental unit in Cala en Bosc,Cloud5,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,122
Villa in Son Carrio,3Villas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,1,4,720
Villa in Es Mercadal,Frederique,No info,Es Mercadal,Entire villa,Entire home/apt,6,3,4,272
Villa in Llucmacanes,Homerti,No info,Mahon,Entire villa,Entire home/apt,4,2,2,363
Home in Ciutadella de Menorca,Antonio,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,4,150
Vacation home in Punta Prima,3Villas,No info,Sant Lluis,Entire vacation home,Entire home/apt,5,2,4,98
Villa in Arenal d'en Castell,Menorca Vip Experience. S.L.,No info,Es Mercadal,Entire villa,Entire home/apt,6,2,5,88
Vacation home in Son Xoriguer,Sensacions Menorca-Son Xoriguer,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,4,1,4,206
Condo in Binibequer,Victor,No info,Sant Lluis,Entire condo,Entire home/apt,4,1,3,185
Villa in Binibequer,Holidu,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,5,183
Cottage in Illes Balears,Stephane,No info,Ciutadella de Menorca,Entire cottage,Entire home/apt,4,1,2,65
Condo in Cala en Porter,Damia,No info,Alaior,Entire condo,Entire home/apt,4,1,2,50
Hotel in Ferreries,Agroturismo,No info,Ferreries,Room in Hotel,Private room,3,1,3,3570
Bungalow in Cala'n Blanes,MauterVillas,No info,Ciutadella de Menorca,Entire bungalow,Entire home/apt,6,2,5,239
Chalet in Cap d'Artrutx,Isabel,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,6,2,5,165
Hotel in Ferreries,Agroturismo,No info,Ferreries,Room in Hotel,Private room,4,1,4,3570
Home in Ciutadella de Menorca,Tristan Ignacio,No info,Ciutadella de Menorca,Entire home,Entire home/apt,8,2,6,130
Condo in Cala en Blanes,Jose,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,2,1,1,62
Villa in Cala en Porter,Gurbia,No info,Alaior,Entire villa,Entire home/apt,6,2,4,147
Villa in Illes Balears,Sharon,No info,Ferreries,Entire villa,Entire home/apt,6,1,5,230
Villa in Binibequer,Stephane,No info,Sant Lluis,Entire villa,Entire home/apt,7,3,5,300
Townhouse in Es Mercadal,Luisa,No info,Es Mercadal,Entire townhouse,Entire home/apt,6,2,5,150
Condo in Son Parc,Maria,No info,Es Mercadal,Entire condo,Entire home/apt,4,1,4,198
Villa in Cala Blanca,James,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,3,253
Condo in Ciutadella de Menorca,Maria Rosa,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,100
Rental unit in Ciutadella de Menorca,Holidu,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,3,1,3,142
Condo in Los Delfines,Maria Del Pilar,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,6,1,4,67
Villa in Ciudadela de Menorca,Holidu,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,7,2,5,117
Serviced apartment in Los Delfines,Isabel,No info,Ciutadella de Menorca,Entire serviced apartment,Entire home/apt,4,1,4,100
Rental unit in Los Delfines,Joaquin,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,2,32
Rental unit in Fornells,Sonne Villas,No info,Es Mercadal,Entire rental unit,Entire home/apt,6,3,5,110
Villa in Son Parc,Sarah,No info,Es Mercadal,Entire villa,Entire home/apt,6,2,5,115
Home in Cap d'Artrutx,Olga,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,5,201
Condo in Binibequer,Teresa,No info,Sant Lluis,Entire condo,Entire home/apt,4,1,4,100
Rental unit in Ciutadella de Menorca,Puri,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,50
Home in Binibequer,Clarice,No info,Sant Lluis,Entire home,Entire home/apt,10,4,8,1235
Rental unit in Arenal d'en Castell,Susana,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,4,150
Condo in S'Algar,Victor,No info,Sant Lluis,Entire condo,Entire home/apt,4,1,3,80
Villa in Ciudadela de Menorca,MauterVillas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,205
Chalet in Cap d'Artrutx,Carolina,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,8,3,4,321
Villa in Cala'n Blanes,MauterVillas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,213
Home in Torre del Ram,Jean,No info,Ciutadella de Menorca,Entire home,Entire home/apt,7,2,5,357
Rental unit in Na Macaret,Eric,No info,Es Mercadal,Entire rental unit,Entire home/apt,2,1,2,150
Home in Illes Balears,Philippe Bonnet,No info,Sant Lluis,Entire home,Entire home/apt,10,4,9,414
Condo in Cala en Blanes,Patrimonial,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,5,1,2,120
Hotel in Ferreries,Agroturismo,No info,Ferreries,Room in Hotel,Private room,2,1,1,3570
Hotel in Ferreries,Agroturismo,No info,Ferreries,Room in Hotel,Private room,2,1,1,3570
Hotel in Ferreries,Agroturismo,No info,Ferreries,Room in Hotel,Private room,3,1,3,3713
Home in PUNTA PRIMA,Melanie,No info,Sant Lluis,Entire home,Entire home/apt,10,3,8,403
Condo in Ciutadella de Menorca,Magi,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,4,75
Treehouse in San Jaime Mediterraneo,Alberto,No info,Alaior,Treehouse,Entire home/apt,8,3,7,275
Treehouse in San Jaime Mediterraneo,Alberto,No info,Alaior,Treehouse,Entire home/apt,8,3,7,275
Rental unit in Los Delfines,Ines,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,2,4,100
Rental unit in Binibequer,Raquel,No info,Sant Lluis,Entire rental unit,Entire home/apt,3,1,2,128
Villa in Los Delfines,3Villas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,6,1097
Villa in Los Delfines,3Villas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,6,1200
Chalet in Illes Balears,Catalina,No info,Es Mercadal,Entire chalet,Entire home/apt,8,3,5,700
Rental unit in Illes Balears,Berta,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,2,3,100
Condo in Los Delfines,Casandra,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,5,1,5,120
Villa in Torre del Ram,Gonzalo,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,4,1,1,220
Condo in Fornells,3Villas,No info,Es Mercadal,Entire condo,Entire home/apt,6,2,4,420
Condo in Los Delfines,Joaquin,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,3,1,2,39
ApartHotel in Ciutadella,3Villas,No info,Ciutadella de Menorca,Room in apartHotel,Entire home/apt,2,1,1,360
Home in Ciutadella de Menorca,Ester,No info,Ciutadella de Menorca,Entire home,Entire home/apt,8,2,8,332
Rental unit in Es Mercadal,Homerti,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,242
Villa in Cap d'Artrutx,Ana,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,4,450
Villa in Binibequer,3Villas,No info,Sant Lluis,Entire villa,Entire home/apt,7,3,6,1200
Villa in Ciudadela de Menorca,Holidays,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,4,1,3,1177
Condo in Arenal d'en Castell,Marga,No info,Es Mercadal,Entire condo,Entire home/apt,5,1,2,360
Villa in Los Delfines,3Villas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,1200
Villa in Los Delfines,Holidays,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,7,3,7,1177
Serviced apartment in Arenal d'en Castell,Leavetown,No info,Es Mercadal,Entire serviced apartment,Entire home/apt,2,1,1,48
Rental unit in Fornells,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,159
Home in Cala'n Bosch,MauterVillas,No info,Ciutadella de Menorca,Entire home,Entire home/apt,7,2,6,150
Home in Es Mercadal,Beatriz,No info,Es Mercadal,Entire home,Entire home/apt,4,2,5,121
Condo in Son Parc,Alex,No info,Es Mercadal,Entire condo,Entire home/apt,2,1,1,70
Condo in Cales Piques,Joaquin,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,3,1,2,44
Home in Binisafuller,Fabio,No info,Sant Lluis,Entire home,Entire home/apt,6,3,5,406
Home in Sant Lluis,Caroline,No info,Sant Lluis,Entire home,Entire home/apt,6,2,7,329
Villa in Cala Galdana,Menorca Habitat,No info,Ferreries,Entire villa,Entire home/apt,8,3,7,177
Villa in Binisafua,3Villas,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,4,1200
Villa in Sant Lluis,Gurbia,No info,Sant Lluis,Entire villa,Entire home/apt,5,2,3,131
Condo in Cala en Porter,Scott,No info,Alaior,Entire condo,Entire home/apt,2,1,1,100
Condo in Son Parc,Marta,No info,Es Mercadal,Entire condo,Entire home/apt,4,1,3,60
Vacation home in Arenal d'en Castell,Nuria,No info,Es Mercadal,Entire vacation home,Entire home/apt,4,1,3,225
Villa in Cap d'Artrutx,Jose Maria,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,4,2,3,550
Home in Cap d'en Font,"Loic, Estelle And Co",No info,Sant Lluis,Entire home,Entire home/apt,6,2,3,278
Rental unit in Ciutadella de Menorca,Natalia,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,4,133
Rental unit in Fornells,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,2,1,1,105
Rental unit in Los Delfines,Nuria,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,1000
Villa in Torre del Ram,Jose M,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,3,6,301
Rental unit in Son Parc,World2Meet,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,86
Villa in Punta Prima,Solmar,No info,Sant Lluis,Entire villa,Entire home/apt,5,1,4,276
Condo in Arenal d'en Castell,Alexandra,No info,Es Mercadal,Entire condo,Entire home/apt,4,1,2,97
Rental unit in Cala en Blanes,Holidu,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,2,4,99
Vacation home in Ciutadella de Menorca,Monblau Menorca,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,4,1,3,205
Vacation home in Ciutadella de Menorca,David,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,5,1,4,150
Home in S'Algar,Carlos,No info,Sant Lluis,Entire home,Entire home/apt,5,2,5,200
Condo in Los Delfines,Joaquin,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,2,39
Rental unit in Fornells,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,4,2,3,133
Villa in Cala en Porter,Charlie,No info,Alaior,Entire villa,Entire home/apt,6,2,5,150
Vacation home in Cala Galdana,Alejandro,No info,Ferreries,Entire vacation home,Entire home/apt,4,1,4,110
Vacation home in Ciutadella de Menorca,Francesc,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,8,3,7,110
Vacation home in Ciutadella de Menorca,Francesc,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,8,3,7,95
Rental unit in Fornells,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,2,1,1,106
Chalet in Son Bou,Menorcarentals Villa S.L.,No info,Alaior,Entire chalet,Entire home/apt,6,2,5,314
Rental unit in Sant Lluis,Maeva,No info,Sant Lluis,Entire rental unit,Entire home/apt,2,1,2,9999
Condo in Son Xoriguer,Xubec,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,4,60
Villa in Ciudadela de Menorca,MauterVillas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,208
Villa in Cap d'Artrutx,World2Meet,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,101
Condo in Sol del Este,Carmen Marina,No info,Es Castell,Entire condo,Entire home/apt,3,1,1,80
Condo in Son Parc,Victoria,No info,Es Mercadal,Entire condo,Entire home/apt,5,1,4,143
Rental unit in Ciutadella de Menorca,IHome-Rent Menorca,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,80
Villa in Sant Jaume,Reinhold,No info,Alaior,Entire villa,Entire home/apt,6,2,4,92
Home in Punta Prima,Marine,No info,Sant Lluis,Entire home,Entire home/apt,6,1,4,160
Cottage in Sant Lluis,3Villas,No info,Sant Lluis,Entire cottage,Entire home/apt,9,4,8,1200
Villa in Cap d'Artrutx,Juan Jose,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,350
Condo in Cap d'Artrutx,Mar,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,136
Townhouse in Cap d'Artrutx,Jordi,No info,Ciutadella de Menorca,Entire townhouse,Entire home/apt,4,1,3,88
Villa in Ciudadela de Menorca,Cristina,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,500
Rental unit in Son Xoriguer,Holidays,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,4,1177
Villa in Sant Lluis,Raphaelle,No info,Sant Lluis,Entire villa,Entire home/apt,10,3,10,430
Condo in Es Mercadal,Azabal,No info,Es Mercadal,Entire condo,Entire home/apt,5,2,5,129
Villa in Sant Lluis,Paula,No info,Sant Lluis,Entire villa,Entire home/apt,8,2,7,224
Townhouse in Son Carrio,Juana,No info,Ciutadella de Menorca,Private room in bed and breakfast,Private room,2,1,1,195
Villa in Cala en Blanes,Mari Luz,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,2,6,149
Rental unit in Alaior,Juana Maria,No info,Alaior,Entire rental unit,Entire home/apt,4,1,3,64
Cottage in Illes Balears,Jerusa,No info,Mahon,Entire cottage,Entire home/apt,10,3,10,796
Home in Es Grau,Marta,No info,Mahon,Entire home,Entire home/apt,6,2,5,185
Condo in Ciutadella de Menorca,Elena,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,5,1,4,220
Villa in Cap d'Artrutx,Josefa,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,3,6,242
Villa in Serpentona,Sonne Villas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,3,7,138
Rental unit in Arenal d'en Castell,Elaine,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,4,73
Serviced apartment in Platja de Sant Tomas,Seth Mestral & Llebeig,No info,Es Migjorn Gran,Entire serviced apartment,Entire home/apt,5,2,4,238
Townhouse in Son Bou,Eva,No info,Alaior,Entire townhouse,Entire home/apt,6,2,6,250
Rental unit in Es Mercadal,Riera Rossello,Spain,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,114
Villa Es Mercadal,Helena,No info,Es Mercadal,Entire villa,Entire home/apt,8,3,6,240
Vacation home in Cap d'Artrutx,Carolina,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,6,2,5,224
Vacation home in Arenal d'en Castell,Vick,No info,Es Mercadal,Entire vacation home,Entire home/apt,4,2,5,85
Villa in Cap d'Artrutx,MauterVillas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,392
Home in Es Mercadal,Carlos,No info,Es Mercadal,Entire home,Entire home/apt,10,2,9,350
Boat in Illes Balears,Jesus,No info,Mahon,Boat,Entire home/apt,6,3,4,3650
Vacation home in CIUTADELLA DE MENORCA,Monblau Menorca,No info,Ciutadella de Menorca,Entire vacation home,Entire home/apt,4,1,3,60
Villa in Alaior,World2Meet,No info,Alaior,Entire villa,Entire home/apt,10,4,6,192
Vacation home in Sa Mesquida,3Villas,No info,Mahon,Entire vacation home,Entire home/apt,5,3,4,720
Condo in Los Delfines,Maria Luisa,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,1,160
Home in Mao,Pedro,No info,Mahon,Private room in home,Private room,2,1,1,50
Vacation home in San Jaime Mediterraneo,Francisco,No info,Alaior,Entire vacation home,Entire home/apt,4,1,3,50
Home in Sant Lluis,Math Capital Menorca,No info,Sant Lluis,Entire home,Entire home/apt,8,4,6,277
Condo in Cala Blanca,Sara,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,125
Vacation home in San Jaime Mediterraneo,Marianne,No info,Alaior,Entire vacation home,Entire home/apt,4,1,4,150
Hotel in Ferreries,Agroturismo,No info,Ferreries,Room in Hotel,Private room,3,1,1,3570
Villa in Ciudadela de Menorca,MauterVillas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,10,3,8,340
Casa particular in Cala Morell,Jordi,No info,Ciutadella de Menorca,Casa particular,Entire home/apt,3,1,2,105
Villa in Cap d'Artrutx,3Villas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,6,1200
Rental unit in Cala en Porter,Lisette,No info,Alaior,Entire rental unit,Entire home/apt,4,1,2,110
Villa in Son Parc,Alain,No info,Es Mercadal,Entire villa,Entire home/apt,2,1,1,114
Rental unit in Los Delfines,Alberto,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,100
Villa in Cap d'Artrutx,MauterVillas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,6,183
Villa in Binibequer,Stefania Y Giorgio,No info,Sant Lluis,Entire villa,Entire home/apt,8,3,6,1000
Villa in Los Delfines,Solmar,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,3,8,353
Home in Ciutadella de Menorca,Miguel,No info,Ciutadella de Menorca,Entire home,Entire home/apt,4,1,3,230
Villa in Cala en Porter,Scott,No info,Alaior,Entire villa,Entire home/apt,6,2,5,480
Hotel in Ferreries,Agroturismo,No info,Ferreries,Room in Hotel,Private room,4,1,2,3570
Home in Cap d'Artrutx,Florence,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,1,6,149
Rental unit in Fornells,Mariana,No info,Es Mercadal,Entire rental unit,Entire home/apt,6,2,4,129
Chalet in S'Algar,Gemma,No info,Sant Lluis,Entire chalet,Entire home/apt,6,3,5,1000
Condo in Illes Balears,Emma,No info,Es Mercadal,Entire condo,Entire home/apt,6,2,3,65
Villa in Ciudadela de Menorca,Holidays,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,4,1,3,1177
Villa in Cala Blanca,Holidays,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,3,7,1177
Rental unit in Los Delfines,Joan,No info,Ciutadella de Menorca,Private room in rental unit,Private room,2,1,1,25
Hotel in Ferreries,Agroturismo,No info,Ferreries,Room in Hotel,Private room,5,1,3,3570
Villa in Cap d'Artrutx,Belen,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,3,6,175
Hotel in Ferreries,Agroturismo,No info,Ferreries,Room in Hotel,Private room,7,1,5,3570
Home in Ciutadella de Menorca,Calan,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,4,5,300
Villa in Ciudadela de Menorca,Sandra,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,3,6,154
Boutique Hotel in Ciutadella de Menorca,Pierangela,No info,Ciutadella de Menorca,Room in boutique Hotel,Private room,4,1,2,93
Cottage in Cala en Porter,Girolamo,No info,Alaior,Entire cottage,Entire home/apt,6,2,5,143
Villa in Cala en Porter,Sonia,No info,Alaior,Entire villa,Entire home/apt,6,2,4,395
Vacation home in San Jaime Mediterraneo,Davide,No info,Alaior,Entire vacation home,Entire home/apt,4,1,2,500
Condo in Arenal d'en Castell,Victor,No info,Es Mercadal,Entire condo,Entire home/apt,4,1,3,180
Rental unit in Cala en Porter,Arne,No info,Alaior,Entire rental unit,Entire home/apt,4,1,3,97
Rental unit in Cala Blanca,Maria,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,4,113
Villa in Sant Lluis,Helen,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,5,500
Rental unit in Cala en Porter,Jorge Rafael,No info,Alaior,Entire rental unit,Entire home/apt,4,1,2,55
Villa in Ciudadela de Menorca,Solmar,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,10,4,8,402
Villa in Cap d'Artrutx,Richard,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,300
Villa in Cap d'Artrutx,Anna,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,236
Home in Es Migjorn Gran,Marta,No info,Es Migjorn Gran,Entire home,Entire home/apt,12,3,11,220
Cottage in Mao,3Villas,No info,Mahon,Entire cottage,Entire home/apt,10,3,9,1200
Villa in Marina de Son Ganxo,Marta,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,5,570
Home in Ciutadella de Menorca,Rita,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,1,5,140
Condo in Los Delfines,Mari,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,2,34
Chalet in Torre del Ram,L. Isabel,No info,Ciutadella de Menorca,Private room in chalet,Private room,2,1,1,111
